level,up,stay,down,requireCoin,ExpectedGold
759,660,4425,4915,38467,2116036.35
760,660,4380,4960,38480,2123871.48
761,660,4335,5005,38493,2131643.81
762,660,4290,5050,38506,2139354.22
763,660,4245,5095,38519,2147003.59
764,660,4200,5140,38532,2154592.77
765,660,4155,5185,38545,2162122.6
766,660,4110,5230,38558,2169593.9
767,660,4065,5275,38571,2177007.48
768,660,4020,5320,38584,2184364.12
769,660,3975,5365,38597,2191664.63
770,660,3930,5410,38610,2198909.74
771,660,3885,5455,38623,2206100.23
772,660,3840,5500,38636,2213236.82
773,660,3795,5545,38649,2220320.23
774,660,3750,5590,38662,2227351.19
775,660,3705,5635,38675,2234330.39
776,660,3660,5680,38688,2241258.52
777,660,3615,5725,38701,2248136.24
778,660,3570,5770,38714,2254964.23
779,660,3525,5815,38727,2261743.14
780,660,3480,5860,38740,2268473.6
781,660,3435,5905,38753,2275156.25
782,660,3390,5950,38766,2281791.69
783,660,3345,5995,38779,2288380.55
784,660,3300,6040,38792,2294923.42
785,660,3255,6085,38805,2301420.88
786,660,3210,6130,38818,2307873.51
787,660,3165,6175,38831,2314281.88
788,660,3120,6220,38844,2320646.55
789,660,3075,6265,38857,2326968.07
790,660,3030,6310,38870,2333246.97
791,660,2985,6355,38883,2339483.78
792,660,2940,6400,38896,2345679.04
793,660,2895,6445,38909,2351833.25
794,660,2850,6490,38922,2357946.91
795,660,2805,6535,38935,2364020.53
796,660,2760,6580,38948,2370054.59
797,660,2715,6625,38961,2376049.57
798,660,2670,6670,38974,2382005.95
799,660,2625,6715,38987,2387924.19
800,660,2580,6760,39000,2393804.74
801,620,6865,2515,43163,1878809.99
802,620,6820,2560,43176,1893517.06
803,620,6775,2605,43189,1908035.86
804,620,6730,2650,43202,1922370.2
805,620,6685,2695,43215,1936523.81
806,620,6640,2740,43228,1950500.32
807,620,6595,2785,43241,1964303.27
808,620,6550,2830,43254,1977936.1
809,620,6505,2875,43267,1991402.18
810,620,6460,2920,43280,2004704.77
811,620,6415,2965,43293,2017847.07
812,620,6370,3010,43306,2030832.18
813,620,6325,3055,43319,2043663.15
814,620,6280,3100,43332,2056342.93
815,620,6235,3145,43345,2068874.41
816,620,6190,3190,43358,2081260.39
817,620,6145,3235,43371,2093503.63
818,620,6100,3280,43384,2105606.8
819,620,6055,3325,43397,2117572.51
820,620,6010,3370,43410,2129403.32
821,620,5965,3415,43423,2141101.71
822,620,5920,3460,43436,2152670.1
823,620,5875,3505,43449,2164110.88
824,620,5830,3550,43462,2175426.36
825,620,5785,3595,43475,2186618.78
826,620,5740,3640,43488,2197690.37
827,620,5695,3685,43501,2208643.27
828,620,5650,3730,43514,2219479.59
829,620,5605,3775,43527,2230201.38
830,620,5560,3820,43540,2240810.66
831,620,5515,3865,43553,2251309.38
832,620,5470,3910,43566,2261699.47
833,620,5425,3955,43579,2271982.8
834,620,5380,4000,43592,2282161.19
835,620,5335,4045,43605,2292236.44
836,620,5290,4090,43618,2302210.31
837,620,5245,4135,43631,2312084.49
838,620,5200,4180,43644,2321860.67
839,620,5155,4225,43657,2331540.48
840,620,5110,4270,43670,2341125.53
841,620,5065,4315,43683,2350617.37
842,620,5020,4360,43696,2360017.54
843,620,4975,4405,43709,2369327.54
844,620,4930,4450,43722,2378548.84
845,620,4885,4495,43735,2387682.87
846,620,4840,4540,43748,2396731.04
847,620,4795,4585,43761,2405694.71
848,620,4750,4630,43774,2414575.25
849,620,4705,4675,43787,2423373.95
850,620,4660,4720,43800,2432092.12
851,620,4615,4765,43813,2440731.02
852,620,4570,4810,43826,2449291.89
853,620,4525,4855,43839,2457775.93
854,620,4480,4900,43852,2466184.34
855,620,4435,4945,43865,2474518.27
856,620,4390,4990,43878,2482778.87
857,620,4345,5035,43891,2490967.25
858,620,4300,5080,43904,2499084.51
859,620,4255,5125,43917,2507131.72
860,620,4210,5170,43930,2515109.92
861,620,4165,5215,43943,2523020.16
862,620,4120,5260,43956,2530863.43
863,620,4075,5305,43969,2538640.74
864,620,4030,5350,43982,2546353.04
865,620,3985,5395,43995,2554001.29
866,620,3940,5440,44008,2561586.43
867,620,3895,5485,44021,2569109.36
868,620,3850,5530,44034,2576571
869,620,3805,5575,44047,2583972.21
870,620,3760,5620,44060,2591313.86
871,620,3715,5665,44073,2598596.8
872,620,3670,5710,44086,2605821.87
873,620,3625,5755,44099,2612989.86
874,620,3580,5800,44112,2620101.6
875,620,3535,5845,44125,2627157.86
876,620,3490,5890,44138,2634159.42
877,620,3445,5935,44151,2641107.03
878,620,3400,5980,44164,2648001.43
879,620,3355,6025,44177,2654843.36
880,620,3310,6070,44190,2661633.53
881,620,3265,6115,44203,2668372.65
882,620,3220,6160,44216,2675061.41
883,620,3175,6205,44229,2681700.48
884,620,3130,6250,44242,2688290.53
885,620,3085,6295,44255,2694832.22
886,620,3040,6340,44268,2701326.19
887,620,2995,6385,44281,2707773.07
888,620,2950,6430,44294,2714173.48
889,620,2905,6475,44307,2720528.04
890,620,2860,6520,44320,2726837.34
891,620,2815,6565,44333,2733101.97
892,620,2770,6610,44346,2739322.5
893,620,2725,6655,44359,2745499.52
894,620,2680,6700,44372,2751633.57
895,620,2635,6745,44385,2757725.21
896,620,2590,6790,44398,2763774.98
897,620,2545,6835,44411,2769783.41
898,620,2500,6880,44424,2775751.01
899,620,2455,6925,44437,2781678.31
900,620,2410,6970,44450,2787565.81
901,580,6695,2725,48613,2274058.37
902,580,6650,2770,48626,2289074.18
903,580,6605,2815,48639,2303883.69
904,580,6560,2860,48652,2318491.39
905,580,6515,2905,48665,2332901.64
906,580,6470,2950,48678,2347118.69
907,580,6425,2995,48691,2361146.66
908,580,6380,3040,48704,2374989.57
909,580,6335,3085,48717,2388651.32
910,580,6290,3130,48730,2402135.69
911,580,6245,3175,48743,2415446.39
912,580,6200,3220,48756,2428587.01
913,580,6155,3265,48769,2441561.05
914,580,6110,3310,48782,2454371.9
915,580,6065,3355,48795,2467022.87
916,580,6020,3400,48808,2479517.21
917,580,5975,3445,48821,2491858.04
918,580,5930,3490,48834,2504048.42
919,580,5885,3535,48847,2516091.34
920,580,5840,3580,48860,2527989.7
921,580,5795,3625,48873,2539746.32
922,580,5750,3670,48886,2551363.95
923,580,5705,3715,48899,2562845.29
924,580,5660,3760,48912,2574192.96
925,580,5615,3805,48925,2585409.49
926,580,5570,3850,48938,2596497.39
927,580,5525,3895,48951,2607459.08
928,580,5480,3940,48964,2618296.92
929,580,5435,3985,48977,2629013.23
930,580,5390,4030,48990,2639610.25
931,580,5345,4075,49003,2650090.18
932,580,5300,4120,49016,2660455.17
933,580,5255,4165,49029,2670707.31
934,580,5210,4210,49042,2680848.64
935,580,5165,4255,49055,2690881.15
936,580,5120,4300,49068,2700806.79
937,580,5075,4345,49081,2710627.47
938,580,5030,4390,49094,2720345.04
939,580,4985,4435,49107,2729961.3
940,580,4940,4480,49120,2739478.05
941,580,4895,4525,49133,2748897
942,580,4850,4570,49146,2758219.84
943,580,4805,4615,49159,2767448.23
944,580,4760,4660,49172,2776583.79
945,580,4715,4705,49185,2785628.08
946,580,4670,4750,49198,2794582.67
947,580,4625,4795,49211,2803449.05
948,580,4580,4840,49224,2812228.7
949,580,4535,4885,49237,2820923.06
950,580,4490,4930,49250,2829533.55
951,580,4445,4975,49263,2838061.54
952,580,4400,5020,49276,2846508.39
953,580,4355,5065,49289,2854875.41
954,580,4310,5110,49302,2863163.91
955,580,4265,5155,49315,2871375.14
956,580,4220,5200,49328,2879510.35
957,580,4175,5245,49341,2887570.74
958,580,4130,5290,49354,2895557.51
959,580,4085,5335,49367,2903471.81
960,580,4040,5380,49380,2911314.79
961,580,3995,5425,49393,2919087.55
962,580,3950,5470,49406,2926791.19
963,580,3905,5515,49419,2934426.78
964,580,3860,5560,49432,2941995.37
965,580,3815,5605,49445,2949497.97
966,580,3770,5650,49458,2956935.6
967,580,3725,5695,49471,2964309.23
968,580,3680,5740,49484,2971619.85
969,580,3635,5785,49497,2978868.38
970,580,3590,5830,49510,2986055.76
971,580,3545,5875,49523,2993182.89
972,580,3500,5920,49536,3000250.67
973,580,3455,5965,49549,3007259.97
974,580,3410,6010,49562,3014211.64
975,580,3365,6055,49575,3021106.54
976,580,3320,6100,49588,3027945.47
977,580,3275,6145,49601,3034729.25
978,580,3230,6190,49614,3041458.66
979,580,3185,6235,49627,3048134.5
980,580,3140,6280,49640,3054757.51
981,580,3095,6325,49653,3061328.45
982,580,3050,6370,49666,3067848.06
983,580,3005,6415,49679,3074317.04
984,580,2960,6460,49692,3080736.12
985,580,2915,6505,49705,3087105.98
986,580,2870,6550,49718,3093427.3
987,580,2825,6595,49731,3099700.76
988,580,2780,6640,49744,3105927.01
989,580,2735,6685,49757,3112106.69
990,580,2690,6730,49770,3118240.44
991,580,2645,6775,49783,3124328.88
992,580,2600,6820,49796,3130372.62
993,580,2555,6865,49809,3136372.26
994,580,2510,6910,49822,3142328.38
995,580,2465,6955,49835,3148241.58
996,580,2420,7000,49848,3154112.4
997,580,2375,7045,49861,3159941.43
998,580,2330,7090,49874,3165729.19
999,580,2285,7135,49887,3171476.23
